Customer;ST;GENDER;Education;Customer Lifetime Value;Income;Monthly Premium Auto;Number of Open Complaints;Policy Type;Vehicle Class;Total Claim Amount;Date
EJ77678;Oregon;NA;Master;32353605%;75690;80;01/01/2000;Personal Auto;Four-Door Car;384;15/11/1996
SV85652;Arizona;NA;College;24545835%;23158;63;01/01/2000;Personal Auto;Four-Door Car;322.294043;14/09/1996
UL64533;Nevada;NA;High School or Below;189754561%;65999;237;00/01/1900;Corporate Auto;Luxury SUV;615.927769;04/07/1997
PF41800;California;NA;Bachelor;47153213%;0;65;00/01/1900;Personal Auto;Four-Door Car;308.15089;31/08/1996
HD95276;Washington;F;College;47378717%;0;130;00/01/1900;Personal Auto;SUV;23.820158;20/11/1995
SK67821;Oregon;NA;Bachelor;49329163%;37260;62;00/01/1900;Corporate Auto;Four-Door Car;15.437681;12/11/1995
YV55495;Arizona;NA;High School or Below;57442297%;68987;71;00/01/1900;Personal Auto;Four-Door Car;204.475147;19/05/1996
KY38074;California;NA;Bachelor;138917357%;42305;117;00/01/1900;Personal Auto;Four-Door Car;561.6;11/05/1997
DM79012;Oregon;NA;Master;73809767%;65706;91;00/01/1900;Personal Auto;Four-Door Car;436.8;06/01/1997
CM61827;Oregon;NA;Bachelor;30900341%;0;90;00/01/1900;Personal Auto;Two-Door Car;648;06/08/1997
WC35801;Arizona;NA;High School or Below;25216331%;53243;66;01/02/2000;Personal Auto;Four-Door Car;157.397849;02/04/1996
QG25316;Nevada;NA;High School or Below;26520618%;0;70;01/01/2000;Corporate Auto;Two-Door Car;484.318536;23/02/1997
MB98372;Oregon;NA;College;27710450%;50071;71;00/01/1900;Corporate Auto;Two-Door Car;18.918935;15/11/1995
IL19217;California;NA;Bachelor;39390064%;60021;99;00/01/1900;Personal Auto;Four-Door Car;882.871945;28/03/1998
SR38658;Arizona;NA;High School or Below;122318797%;43244;103;00/01/1900;Personal Auto;Sports Car;494.4;05/03/1997
YD87931;Washington;M;Doctor;49516561%;46896;35354;01/01/2000;Personal Auto;Four-Door Car;31.707317;28/11/1995
HG65722;Oregon;NA;Doctor;128191029%;10105;172;01/03/2000;Personal Auto;SUV;0.517753;28/10/1995
BU27331;Arizona;NA;Bachelor;44685105%;0;73;01/03/2000;Personal Auto;Four-Door Car;579.165954;29/05/1997
XM45289;Oregon;NA;High School or Below;55143440%;23218;71;00/01/1900;Personal Auto;Two-Door Car;447.79344;17/01/1997
KP34198;California;NA;Bachelor;33438753%;0;92;00/01/1900;Corporate Auto;Four-Door Car;529.624084;09/04/1997
SH90947;Arizona;NA;High School or Below;22944789%;0;62;00/01/1900;Personal Auto;Four-Door Car;313.023175;05/09/1996
WE95729;Oregon;NA;College;367074264%;24804;104;00/01/1900;Personal Auto;SUV;593.830288;12/06/1997
PY51963;California;NA;Bachelor;334733495%;33190;106;00/01/1900;Corporate Auto;SUV;508.8;19/03/1997
RB69909;Nevada;NA;High School or Below;79834317%;36014;69;01/03/2000;Special Auto;Four-Door Car;173.956072;18/04/1996
NW21079;Washington;F;Master;48793848%;67163;61;01/02/2000;Personal Auto;Two-Door Car;33.192803;30/11/1995
FR46645;California;NA;Bachelor;42939973%;16701;113;00/01/1900;Personal Auto;Four-Door Car;831.625979;05/02/1998
SY17488;Arizona;NA;College;71643955%;46623;91;00/01/1900;Corporate Auto;Four-Door Car;436.8;06/01/1997
AP67935;California;NA;College;76195158%;64749;64;00/01/1900;Special Auto;Four-Door Car;302.56519;25/08/1996
FS37417;Arizona;NA;High School or Below;39580028%;0;101;00/01/1900;Personal Auto;SUV;484.8;23/02/1997
ML29312;Oregon;NA;High School or Below;44994933%;16969;124;01/02/2000;Personal Auto;SUV;704.768111;01/10/1997
UB61619;Oregon;NA;Master;40595674%;11621;108;00/01/1900;Personal Auto;Four-Door Car;518.4;29/03/1997
CD86811;Arizona;NA;Bachelor;44581134%;17622;65;01/01/2000;Personal Auto;Four-Door Car;312;04/09/1996
RU83859;California;NA;Bachelor;81103331%;11489;105;00/01/1900;Personal Auto;Two-Door Car;504;15/03/1997
FG63582;Oregon;NA;Bachelor;33397649%;0;94;00/01/1900;Personal Auto;Two-Door Car;863.327324;09/03/1998
NN71951;California;NA;High School or Below;242610178%;66525;100;00/01/1900;Personal Auto;SUV;104.331355;09/02/1996
WB37082;Arizona;NA;Bachelor;66139737%;0;63;00/01/1900;Personal Auto;Four-Door Car;676.391482;03/09/1997
SM52139;WA;NA;College;29306935%;33663;73;00/01/1900;Personal Auto;Four-Door Car;350.4;12/10/1996
FL82372;Oregon;NA;College;86721943%;22547;112;00/01/1900;Corporate Auto;SUV;537.6;17/04/1997
DP45816;AZ;NA;High School or Below;116386693%;61486;97;00/01/1900;Personal Auto;Two-Door Car;465.258644;04/02/1997
GW33762;Oregon;NA;Bachelor;68461503%;0;95;00/01/1900;Personal Auto;Two-Door Car;456;26/01/1997
RZ33670;California;NA;College;117277765%;29879;102;00/01/1900;Personal Auto;Four-Door Car;500.254235;11/03/1997
PY70169;Oregon;NA;High School or Below;226438348%;93011;113;00/01/1900;Personal Auto;SUV;281.451042;04/08/1996
MO91628;Oregon;NA;Master;26144743%;65186;65;00/01/1900;Personal Auto;Two-Door Car;5.434505;02/11/1995
HW87852;Oregon;NA;Master;24517527%;26840;64;01/02/2000;Personal Auto;Four-Door Car;307.2;30/08/1996
HB20453;Oregon;NA;Bachelor;67812702%;0;104;01/01/2000;Personal Auto;Sports Car;982.399613;06/07/1998
BN87372;Oregon;NA;Bachelor;49748015%;75644;65;01/03/2000;Personal Auto;Two-Door Car;467.803638;06/02/1997
YX23800;Oregon;NA;Bachelor;85916049%;38984;73;00/01/1900;Personal Auto;Four-Door Car;350.4;12/10/1996
DZ87709;Oregon;NA;High School or Below;55921614%;71811;71;00/01/1900;Personal Auto;Four-Door Car;29.03416;26/11/1995
XW13033;Nevada;NA;College;80094728%;20961;67;00/01/1900;Personal Auto;Four-Door Car;321.6;13/09/1996
SP81997;Washington;F;Master;;41275;96;00/01/1900;Personal Auto;Four-Door Car;41.122303;08/12/1995
OM82309;California;NA;Bachelor;581665535%;61321;186;01/01/2000;Personal Auto;Luxury Car;427.63121;28/12/1996
ZU35962;California;NA;College;80252294%;0;77;00/01/1900;Personal Auto;Two-Door Car;25.807685;22/11/1995
VH85817;California;NA;High School or Below;57801822%;51066;74;00/01/1900;Personal Auto;Four-Door Car;787.993313;23/12/1997
DT85712;California;NA;Doctor;41185391%;34378;102;00/01/1900;Personal Auto;SUV;489.6;28/02/1997
YJ88573;Nevada;NA;Master;25230702%;43072;63;00/01/1900;Personal Auto;Four-Door Car;302.4;25/08/1996
SQ19467;Oregon;NA;College;65542164%;25222;90;00/01/1900;Personal Auto;Four-Door Car;475.623251;14/02/1997
YB66933;Washington;F;Bachelor;53827520%;77552;68;01/01/2000;Corporate Auto;Four-Door Car;45.215059;12/12/1995
ET79815;California;NA;College;59267294%;23091;96;01/05/2000;Personal Auto;Four-Door Car;460.8;30/01/1997
QC35222;California;NA;Bachelor;26834707%;48269;69;01/03/2000;Corporate Auto;Four-Door Car;282.151207;05/08/1996
CJ15590;Oregon;NA;Bachelor;26951824%;32720;67;00/01/1900;Personal Auto;Four-Door Car;321.6;13/09/1996
OI48267;California;NA;College;60470252%;20396;76;01/01/2000;Personal Auto;Four-Door Car;364.8;26/10/1996
JY67916;Oregon;NA;College;131710128%;21513;119;01/01/2000;Personal Auto;Two-Door Car;679.827592;06/09/1997
OW15518;Washington;F;College;159500195%;0;87;01/01/2000;Personal Auto;Two-Door Car;46.041452;13/12/1995
CZ33664;Oregon;NA;Bachelor;25276538%;80744;63;00/01/1900;Corporate Auto;Four-Door Car;11.879037;08/11/1995
WK30175;Oregon;NA;Bachelor;26720958%;52822;67;00/01/1900;Corporate Auto;Two-Door Car;350.529033;12/10/1996
ON44465;California;NA;High School or Below;53132940%;0;77;01/01/2000;Personal Auto;Four-Door Car;863.3947;09/03/1998
TV87155;Oregon;NA;Bachelor;209461925%;69738;74;01/01/2000;Personal Auto;Four-Door Car;492.127532;03/03/1997
KH48895;AZ;NA;Master;83753539%;17780;109;00/01/1900;Personal Auto;SUV;132.588288;08/03/1996
NZ30757;California;NA;Bachelor;48016615%;18107;62;00/01/1900;Personal Auto;Four-Door Car;297.6;20/08/1996
RI22468;AZ;NA;Bachelor;57459433%;57740;74;01/03/2000;Personal Auto;Four-Door Car;269.905129;23/07/1996
FZ30935;Oregon;NA;College;60661160%;32627;76;00/01/1900;Personal Auto;Two-Door Car;380.036697;11/11/1996
UG93476;California;NA;College;80023083%;0;107;00/01/1900;Personal Auto;SUV;513.6;24/03/1997
AB96670;California;NA;College;23939154%;0;70;00/01/1900;Personal Auto;Four-Door Car;425.266308;26/12/1996
XK64261;Oregon;NA;Bachelor;47628179%;65795;62;01/01/2000;Corporate Auto;Two-Door Car;49.011099;16/12/1995
EV68375;California;NA;College;43303860%;60475;107;00/01/1900;Personal Auto;Four-Door Car;513.6;24/03/1997
UN51653;California;NA;High School or Below;94027298%;0;130;00/01/1900;Personal Auto;SUV;936;21/05/1998
TO96662;Oregon;NA;Bachelor;69666945%;41837;88;00/01/1900;Personal Auto;Four-Door Car;142.062768;18/03/1996
MR52087;California;NA;Bachelor;76940643%;32303;65;00/01/1900;Personal Auto;Four-Door Car;45.152521;12/12/1995
DE75225;Oregon;NA;High School or Below;87175611%;0;117;01/01/2000;Personal Auto;SUV;561.6;11/05/1997
EP80820;California;NA;Bachelor;59287485%;40531;74;00/01/1900;Personal Auto;Two-Door Car;30.567357;27/11/1995
GU99037;Oregon;NA;College;24529773%;79898;62;01/01/2000;Corporate Auto;Four-Door Car;271.606799;25/07/1996
WI57118;California;NA;College;67015717%;56398;85;00/01/1900;Personal Auto;Four-Door Car;408;09/12/1996
GP39118;Washington;M;High School or Below;49965527%;71600;63;00/01/1900;Personal Auto;Two-Door Car;46.158117;13/12/1995
MQ14219;AZ;NA;College;84926988%;27804;109;00/01/1900;Personal Auto;SUV;784.8;20/12/1997
KN20603;Oregon;NA;Bachelor;77134940%;45506;66;01/02/2000;Personal Auto;Four-Door Car;316.8;08/09/1996
SG20925;Washington;F;Master;51857976%;99428;6464;01/01/2000;Personal Auto;Four-Door Car;48.046869;15/12/1995
JI70886;California;NA;High School or Below;72900698%;0;102;01/01/2000;Corporate Auto;SUV;489.6;28/02/1997
VF72557;Oregon;NA;High School or Below;47729438%;20993;133;00/01/1900;Personal Auto;SUV;638.4;27/07/1997
OX28638;AZ;NA;High School or Below;68064914%;37839;86;00/01/1900;Personal Auto;Two-Door Car;465.633954;04/02/1997
SK55033;California;NA;Bachelor;24697813%;92711;62;00/01/1900;Personal Auto;Two-Door Car;368.400146;30/10/1996
OO88645;California;NA;College;31039230%;74665;78;01/02/2000;Corporate Auto;Four-Door Car;236.902001;20/06/1996
FM14335;Washington;F;College;104849154%;61108;89;00/01/1900;Personal Auto;Four-Door Car;49.451117;16/12/1995
CW82151;California;NA;Bachelor;89027376%;46833;112;00/01/1900;Personal Auto;Sports Car;64.109663;31/12/1995
DY22043;Oregon;NA;High School or Below;54994472%;88768;68;00/01/1900;Personal Auto;Two-Door Car;326.4;18/09/1996
SH36774;California;NA;High School or Below;150235986%;28262;192;00/01/1900;Personal Auto;Luxury SUV;921.6;06/05/1998
EM43724;Nevada;NA;Bachelor;25091079%;33555;63;00/01/1900;Personal Auto;Four-Door Car;101.89645;06/02/1996
FH85960;Oregon;NA;College;312217481%;42780;113;01/01/2000;Personal Auto;Four-Door Car;542.4;22/04/1997
XA55993;Oregon;NA;Master;31335034%;58850;78;00/01/1900;Personal Auto;Four-Door Car;143.747794;19/03/1996
GO36627;AZ;NA;College;38374519%;21880;97;00/01/1900;Special Auto;Four-Door Car;424.077159;25/12/1996
QH48047;Oregon;NA;College;117904962%;25251;66;00/01/1900;Personal Auto;Four-Door Car;316.8;08/09/1996
HS28694;Washington;F;High School or Below;28298639%;25317;71;00/01/1900;Personal Auto;Two-Door Car;50.422181;17/12/1995
UH65059;AZ;NA;High School or Below;43058083%;24188;109;00/01/1900;Personal Auto;Sports Car;523.2;03/04/1997
FV21968;Nevada;NA;Bachelor;59739769%;41611;74;00/01/1900;Special Auto;Four-Door Car;113.801497;18/02/1996
QA87025;Oregon;NA;Bachelor;56704424%;28406;72;01/01/2000;Personal Auto;Four-Door Car;192.87572;07/05/1996
TQ13499;AZ;NA;College;47317493%;69833;118;00/01/1900;Personal Auto;Four-Door Car;828.662719;02/02/1998
BU44523;AZ;NA;High School or Below;80263796%;0;74;00/01/1900;Corporate Auto;Four-Door Car;532.8;12/04/1997
MS41162;AZ;NA;High School or Below;40229635%;0;117;00/01/1900;Personal Auto;SUV;975.107098;29/06/1998
PU25891;Oregon;NA;High School or Below;96183109%;80536;119;00/01/1900;Special Auto;Sports Car;53.798708;20/12/1995
LH92841;Washington;F;Bachelors;72559538%;88891;89;00/01/1900;Personal Auto;Four-Door Car;50.528355;17/12/1995
SX26335;Oregon;NA;College;95529269%;97732;79;00/01/1900;Personal Auto;Four-Door Car;289.9122;12/08/1996
AZ95587;AZ;F;Bachelor;103885532%;61222;89;00/01/1900;Special Auto;Four-Door Car;392.604371;23/11/1996
DS81757;Oregon;M;College;24701212%;0;74;00/01/1900;Personal Auto;Two-Door Car;721.242206;18/10/1997
OJ94107;AZ;M;Master;56190685%;50335;140;00/01/1900;Personal Auto;SUV;456.52385;26/01/1997
LP84436;California;F;High School or Below;90471192%;0;127;00/01/1900;Personal Auto;Sports Car;1087.995426;19/10/1998
FF22360;Washington;F;Doctor;26873141%;82210;68;01/04/2000;Personal Auto;Four-Door Car;51.961915;18/12/1995
LM19287;Oregon;F;High School or Below;37315046%;0;96;00/01/1900;Personal Auto;Four-Door Car;460.8;30/01/1997
ZU18643;Nevada;M;Bachelor;36607703%;64495;92;00/01/1900;Corporate Auto;Four-Door Car;251.992083;05/07/1996
AZ82578;California;F;College;79288293%;0;72;00/01/1900;Corporate Auto;Four-Door Car;345.6;07/10/1996
XC67861;Arizona;F;Bachelor;50117516%;28859;67;01/03/2000;Corporate Auto;Two-Door Car;321.6;13/09/1996
YC43143;Arizona;F;High School or Below;79882583%;77330;99;00/01/1900;Personal Auto;Four-Door Car;99.257608;04/02/1996
EK59571;Oregon;M;College;38854564%;0;105;00/01/1900;Corporate Auto;Four-Door Car;504;15/03/1997
PA38372;Washington;F;High School or Below;93577378%;33060;117;00/01/1900;Personal Auto;Four-Door Car;56.731578;23/12/1995
RO18530;Washington;M;Master;25406898%;42557;65;00/01/1900;Personal Auto;Four-Door Car;57.562324;24/12/1995
PD27940;Arizona;M;High School or Below;48851625%;26372;126;00/01/1900;Personal Auto;SUV;604.8;23/06/1997
BS77946;Arizona;F;Bachelor;97533071%;17514;127;00/01/1900;Personal Auto;SUV;8.312729;05/11/1995
YM50253;California;Femal;Bachelor;29461537%;89270;74;00/01/1900;Personal Auto;Four-Door Car;316.599228;08/09/1996
NR15332;California;M;High School or Below;25811109%;29757;65;00/01/1900;Personal Auto;Four-Door Car;312;04/09/1996
RC62865;Oregon;M;College;35173858%;51814;92;00/01/1900;Personal Auto;Four-Door Car;56.300724;23/12/1995
CC15295;Oregon;F;Bachelor;97433501%;24028;82;00/01/1900;Personal Auto;Four-Door Car;393.6;24/11/1996
KA61892;Arizona;M;College;38736470%;28142;105;00/01/1900;Personal Auto;Sports Car;701.708239;28/09/1997
OS94884;Arizona;F;Bachelor;76492820%;52705;64;01/01/2000;Personal Auto;Two-Door Car;128.705563;04/03/1996
ND87334;California;M;High School or Below;22875969%;0;63;00/01/1900;Corporate Auto;Two-Door Car;679.368378;06/09/1997
OY51402;Washington;F;High School or Below;82557639%;54040;103;00/01/1900;Personal Auto;SUV;59.987126;26/12/1995
YL74911;California;F;College;87149221%;0;118;00/01/1900;Personal Auto;SUV;566.4;16/05/1997
GK92563;Washington;F;Doctor;68192312%;22492;85;00/01/1900;Personal Auto;Two-Door Car;61.654262;28/12/1995
HL53154;California;M;Bachelor;74161973%;0;77;01/02/2000;Personal Auto;Four-Door Car;554.4;04/05/1997
RI78966;Oregon;M;Master;77711590%;21876;68;00/01/1900;Personal Auto;Four-Door Car;465.41477;04/02/1997
IC13702;California;F;Bachelor;69683419%;0;69;01/01/2000;Personal Auto;Four-Door Car;496.8;07/03/1997
BE10809;California;F;High School or Below;42502826%;0;61;01/01/2000;Personal Auto;Four-Door Car;292.8;15/08/1996
HT87217;Oregon;F;High School or Below;197765665%;70699;82;00/01/1900;Personal Auto;Four-Door Car;256.813837;10/07/1996
TH95618;California;F;High School or Below;213434660%;0;74;01/01/2000;Personal Auto;Four-Door Car;355.2;17/10/1996
TS19868;California;M;College;24131397%;27501;63;00/01/1900;Personal Auto;Four-Door Car;542.319401;22/04/1997
LP45550;Oregon;F;Doctor;153638472%;15897;101;00/01/1900;Personal Auto;Four-Door Car;303.148399;26/08/1996
QR87004;Nevada;F;College;84569619%;25141;73;01/01/2000;Personal Auto;Four-Door Car;25.438063;22/11/1995
OE75747;Nevada;F;College;21896425%;0;61;01/03/2000;Personal Auto;Four-Door Car;292.8;15/08/1996
DX91392;California;M;High School or Below;57801822%;51066;74;00/01/1900;Personal Auto;Four-Door Car;787.993313;23/12/1997
AB72731;California;F;Bachelor;46399816%;28358;117;00/01/1900;Personal Auto;Sports Car;84.024413;20/01/1996
GX84338;Washington;F;Doctor;38244313%;62530;95;00/01/1900;Personal Auto;Four-Door Car;61.693771;28/12/1995
IS12901;Arizona;F;Bachelor;59681189%;90972;74;00/01/1900;Personal Auto;Two-Door Car;232.926145;16/06/1996
BN90616;Washington;F;Bachelor;85903350%;63110;72;00/01/1900;Personal Auto;Four-Door Car;68.179721;04/01/1996
HH90090;California;F;Bachelor;40766347%;29549;104;00/01/1900;Personal Auto;Sports Car;710.433775;07/10/1997
IU25463;California;F;Bachelor;122526018%;0;115;01/01/2000;Personal Auto;Four-Door Car;552;02/05/1997
KC11055;Nevada;F;Bachelor;169362715%;39411;217;01/02/2000;Personal Auto;Luxury Car;1122.658899;23/11/1998
PD33979;Oregon;M;High School or Below;48924355%;21709;62;00/01/1900;Personal Auto;Four-Door Car;408.374746;09/12/1996
NK71023;Nevada;M;Bachelor;99423048%;67890;85;00/01/1900;Personal Auto;Four-Door Car;408;09/12/1996
AB13432;California;M;Bachelor;37358381%;0;110;00/01/1900;Personal Auto;SUV;792;28/12/1997
OZ97704;California;F;High School or Below;131175222%;84311;111;01/04/2000;Personal Auto;SUV;532.8;12/04/1997
UF46533;California;F;College;45745241%;99316;114;00/01/1900;Corporate Auto;SUV;754.358929;20/11/1997
XP47431;Arizona;F;Bachelor;54700606%;54507;138;00/01/1900;Personal Auto;SUV;702.990032;29/09/1997
GK73582;California;F;Bachelor;29788460%;64586;76;00/01/1900;Personal Auto;Four-Door Car;206.837111;21/05/1996
RV98763;Oregon;M;College;64109675%;61709;82;01/02/2000;Personal Auto;Four-Door Car;275.395894;29/07/1996
II62831;California;M;Master;44790231%;94656;111;01/01/2000;Special Auto;SUV;459.738128;29/01/1997
XK33449;California;F;High School or Below;23837319%;0;69;00/01/1900;Special Auto;Two-Door Car;496.8;07/03/1997
TR85083;California;M;Bachelor;27644937%;61085;70;01/01/2000;Personal Auto;Two-Door Car;336;28/09/1996
EO95328;Oregon;F;Bachelor;79201054%;89284;67;01/03/2000;Personal Auto;Two-Door Car;321.6;13/09/1996
EN21086;Arizona;F;High School or Below;68890980%;0;63;00/01/1900;Personal Auto;Four-Door Car;302.4;25/08/1996
YL83902;WA;F;Bachelor;32741946%;31686;81;00/01/1900;Personal Auto;Four-Door Car;430.994107;31/12/1996
AZ62651;Oregon;M;High School or Below;99517077%;56855;255;00/01/1900;Corporate Auto;Luxury SUV;1836;06/11/2000
ZW25874;Oregon;M;Bachelor;25215557%;53703;67;01/02/2000;Special Auto;Four-Door Car;67.632476;03/01/1996
EH41854;WA;F;High School or Below;237061134%;0;96;01/01/2000;Personal Auto;Two-Door Car;844.481918;18/02/1998
MW70227;California;M;College;60470252%;20396;76;01/01/2000;Personal Auto;Four-Door Car;364.8;26/10/1996
SL22297;California;F;Master;111403025%;27679;150;00/01/1900;Personal Auto;SUV;722.486994;19/10/1997
RV14138;Nevada;F;Bachelor;43340641%;23904;123;01/03/2000;Personal Auto;SUV;590.4;09/06/1997
UO62808;Arizona;F;High School or Below;27997479%;65351;69;00/01/1900;Corporate Auto;Four-Door Car;481.027516;20/02/1997
ZX64745;California;M;College;79231366%;0;113;00/01/1900;Personal Auto;SUV;1124.427734;25/11/1998
FL34139;California;M;High School or Below;36881109%;0;63;01/03/2000;Personal Auto;Four-Door Car;669.682001;27/08/1997
TS11219;California;M;College;120674560%;0;116;00/01/1900;Personal Auto;SUV;1284.093173;04/05/1999
XX12304;California;F;College;29249767%;64459;72;00/01/1900;Personal Auto;Four-Door Car;240.259479;24/06/1996
SD64087;California;M;College;150140927%;32961;190;00/01/1900;Corporate Auto;SUV;912;27/04/1998
OY38576;Oregon;F;High School or Below;92772338%;71416;116;00/01/1900;Corporate Auto;SUV;556.8;06/05/1997
BG76355;WA;F;Bachelor;62741239%;68964;78;00/01/1900;Personal Auto;Four-Door Car;115.086827;20/02/1996
IP66913;Cali;M;High School or Below;38866474%;78108;98;00/01/1900;Personal Auto;Two-Door Car;470.4;09/02/1997
LE95702;Cali;M;College;43862776%;10621;67;00/01/1900;Special Auto;Four-Door Car;321.6;13/09/1996
KX54357;WA;M;College;113652677%;84910;95;00/01/1900;Corporate Auto;Two-Door Car;383.167471;14/11/1996
EZ78112;Cali;Femal;High School or Below;56109643%;77493;70;00/01/1900;Special Auto;Four-Door Car;307.963291;30/08/1996
XN16891;Arizona;M;College;29128920%;81097;74;00/01/1900;Personal Auto;Four-Door Car;355.2;17/10/1996
XK31350;Oregon;Femal;College;69157299%;96610;85;00/01/1900;Corporate Auto;Four-Door Car;520.364752;31/03/1997
CC30924;Oregon;M;College;62626633%;30110;159;00/01/1900;Corporate Auto;Sports Car;466.436375;05/02/1997
IT78748;Oregon;Femal;High School or Below;65033970%;22081;84;00/01/1900;Special Auto;Two-Door Car;451.670309;21/01/1997
KY33386;WA;Femal;High School or Below;80073994%;0;112;00/01/1900;Personal Auto;Sports Car;537.6;17/04/1997
CO44221;Cali;M;College;29299165%;98473;72;00/01/1900;Personal Auto;Four-Door Car;345.6;07/10/1996
LK60013;Oregon;Femal;Bachelor;59695530%;97431;74;00/01/1900;Personal Auto;Four-Door Car;355.2;17/10/1996
DE21533;Cali;M;Bachelor;54731599%;93870;69;00/01/1900;Personal Auto;Four-Door Car;331.2;23/09/1996
YS94121;Nevada;M;High School or Below;56453967%;50366;72;00/01/1900;Personal Auto;Four-Door Car;428.734656;29/12/1996
UK68427;WA;M;High School or Below;63692624%;34498;83;00/01/1900;Personal Auto;Two-Door Car;398.4;29/11/1996
TE49565;Oregon;Femal;College;118337673%;16552;103;00/01/1900;Personal Auto;SUV;494.4;05/03/1997
RA88421;Oregon;Femal;College;61211079%;26787;77;00/01/1900;Personal Auto;Four-Door Car;369.6;31/10/1996
KQ51983;Nevada;M;College;51593697%;0;74;00/01/1900;Personal Auto;Two-Door Car;831.752839;05/02/1998
CD88896;Nevada;Femal;High School or Below;25145920%;43860;65;00/01/1900;Corporate Auto;Four-Door Car;156.124914;01/04/1996
YV22553;Arizona;M;High School or Below;86686113%;21474;114;01/02/2000;Corporate Auto;SUV;373.428187;04/11/1996
WU14435;Cali;M;Bachelor;49609654%;18174;66;00/01/1900;Corporate Auto;Four-Door Car;395.934815;26/11/1996
XV84099;Arizona;Femal;Bachelor;55041390%;0;73;00/01/1900;Corporate Auto;Four-Door Car;350.4;12/10/1996
RI24911;Arizona;Male;College;75074554%;60920;64;00/01/1900;Personal Auto;Two-Door Car;231.201886;15/06/1996
KO26461;Arizona;Male;High School or Below;322698514%;41520;90;00/01/1900;Personal Auto;Four-Door Car;289.904105;12/08/1996
HI14283;Oregon;Femal;Bachelor;56570316%;0;152;00/01/1900;Personal Auto;SUV;729.6;26/10/1997
PT50227;Arizona;Male;High School or Below;50617579%;0;68;00/01/1900;Personal Auto;Two-Door Car;326.4;18/09/1996
